from_bus,to_bus,from_bus0,to_bus0,g,b,is_diagonal
1,2,0,1,-2.780301153412063,9.166735486002148,0
1,3,0,2,-6.567659622130468,21.586726199870686,0
1,1,0,0,9.347960775542530,-30.735351685872832,1
2,1,1,0,-2.780301153412063,9.166735486002148,0
2,12,1,11,-4.512276045122761,14.863968148639680,0
2,2,1,1,7.292577198534824,-24.010143634641828,1
3,1,2,0,-6.567659622130468,21.586726199870686,0
3,5,2,4,-1.968180804765448,8.820063357455117,0
3,12,2,11,-1.732124758790891,5.726032260465756,0
3,3,2,2,10.267965185686807,-36.092911817791560,1
4,5,3,4,-26.355985504207979,119.500434274761162,0
4,11,3,10,-4.042357719646051,13.306900053188917,0
4,4,3,3,30.398343223854031,-132.797544327950078,1
5,4,4,3,-26.355985504207979,119.500434274761162,0
5,3,4,2,-1.968180804765448,8.820063357455117,0
5,6,4,5,-3.891928663236973,17.660852757545928,0
5,8,4,7,0.000000000000000,38.023536569136290,0
5,11,4,10,-4.009219229242416,13.469396622380923,0
5,5,4,4,36.225314201452818,-197.272860532742357,1
6,5,5,4,-3.891928663236973,17.660852757545928,0
6,7,5,6,-10.116636665732880,45.844453735782984,0
6,6,5,5,14.008565328969853,-63.495426493328914,1
7,6,6,5,-10.116636665732880,45.844453735782984,0
7,12,6,11,-7.006396140662424,27.635437213749704,0
7,7,6,6,17.123032806395305,-73.472770949532688,1
8,9,7,8,-2.606270687273581,32.578383590919756,0
8,5,7,4,0.000000000000000,38.023536569136290,0
8,30,7,29,-1.684425369228190,19.697224735290206,0
8,8,7,7,4.290696056501771,-90.040183523302645,1
9,8,8,7,-2.606270687273581,32.578383590919756,0
9,10,8,9,-2.472457020455461,30.857796921963509,0
9,9,8,8,5.078727707729042,-62.240180512883271,1
10,9,9,8,-2.472457020455461,30.857796921963509,0
10,10,9,9,2.472457020455461,-30.242796921963510,1
11,4,10,3,-4.042357719646051,13.306900053188917,0
11,5,10,4,-4.009219229242416,13.469396622380923,0
11,12,10,11,-14.181438998957249,46.715328467153292,0
11,13,10,12,-3.810797745549181,12.519969222455961,0
11,11,10,10,26.043813693394895,-85.982274365179094,1
12,11,11,10,-14.181438998957249,46.715328467153292,0
12,2,11,1,-4.512276045122761,14.863968148639680,0
12,3,11,2,-1.732124758790891,5.726032260465756,0
12,7,11,6,-7.006396140662424,27.635437213749704,0
12,14,11,13,-3.937195325175708,12.946963232089423,0
12,16,11,15,-2.862930452397028,11.262660364618499,0
12,117,11,116,-1.590723711598406,6.769037070631517,0
12,12,11,11,35.823085432704467,-125.846706757347860,1
13,11,12,10,-3.810797745549181,12.519969222455961,0
13,15,12,14,-1.139937781460444,3.744634325120061,0
13,13,12,12,4.950735527009625,-16.223883547576023,1
14,12,13,11,-3.937195325175708,12.946963232089423,0
14,15,13,14,-1.431484232622202,4.691418913635789,0
14,14,13,13,5.368679557797910,-17.604202145725210,1
15,13,14,12,-1.139937781460444,3.744634325120061,0
15,14,14,13,-1.431484232622202,4.691418913635789,0
15,17,14,16,-6.334185889161343,20.969994193662934,0
15,19,14,18,-7.073970147845977,23.226201985427625,0
15,33,14,32,-2.245947837270440,7.352523972537968,0
15,15,14,14,18.225525888360405,-59.885113390384376,1
16,12,15,11,-2.862930452397028,11.262660364618499,0
16,17,15,16,-1.316049983230508,5.220718105282259,0
16,16,15,15,4.178980435627537,-16.449378469900758,1
17,15,16,14,-6.334185889161343,20.969994193662934,0
17,16,16,15,-1.316049983230508,5.220718105282259,0
17,18,16,17,-4.552958682825351,18.693041746559370,0
17,30,16,29,0.000000000000000,26.847079037800690,0
17,31,16,30,-1.776848118846398,5.859100442525149,0
17,113,16,112,-9.228123560632563,30.423496076127066,0
17,17,16,16,23.208166234696165,-106.863766440445445,1
