1	2	0.0193800000000000	0.0591700000000000	0.0528000000000000	0	0	0	0	0	1	-360	360
1	5	0.0540300000000000	0.223040000000000	0.0492000000000000	0	0	0	0	0	1	-360	360
2	3	0.0469900000000000	0.197970000000000	0.0438000000000000	0	0	0	0	0	1	-360	360
2	4	0.0581100000000000	0.176320000000000	0.0340000000000000	0	0	0	0	0	1	-360	360
2	5	0.0569500000000000	0.173880000000000	0.0346000000000000	0	0	0	0	0	1	-360	360
3	4	0.0670100000000000	0.171030000000000	0.0128000000000000	0	0	0	0	0	1	-360	360
4	5	0.0133500000000000	0.0421100000000000	0	0	0	0	0	0	1	-360	360
4	7	0	0.209120000000000	0	0	0	0	0.978000000000000	0	1	-360	360
4	9	0	0.556180000000000	0	0	0	0	0.969000000000000	0	1	-360	360
5	6	0	0.252020000000000	0	0	0	0	0.932000000000000	0	1	-360	360
6	11	0.0949800000000000	0.198900000000000	0	0	0	0	0	0	1	-360	360
6	12	0.122910000000000	0.255810000000000	0	0	0	0	0	0	1	-360	360
6	13	0.0661500000000000	0.130270000000000	0	0	0	0	0	0	1	-360	360
7	8	0	0.176150000000000	0	0	0	0	0	0	1	-360	360
7	9	0	0.110010000000000	0	0	0	0	0	0	1	-360	360
9	10	0.0318100000000000	0.0845000000000000	0	0	0	0	0	0	1	-360	360
9	14	0.127110000000000	0.270380000000000	0	0	0	0	0	0	1	-360	360
10	11	0.0820500000000000	0.192070000000000	0	0	0	0	0	0	1	-360	360
12	13	0.220920000000000	0.199880000000000	0	0	0	0	0	0	1	-360	360
13	14	0.170930000000000	0.348020000000000	0	0	0	0	0	0	1	-360	360
-1
