1	0	0	15	-5
4	0	0	300	-300
6	0	0	50	-13
8	0	0	300	-300
10	450	0	200	-147
12	85	0	120	-35
15	0	0	30	-10
18	0	0	50	-16
19	0	0	24	-8
24	0	0	300	-300
25	220	0	140	-47
26	314	0	1000	-1000
27	0	0	300	-300
31	7	0	300	-300
32	0	0	42	-14
34	0	0	24	-8
36	0	0	24	-8
40	0	0	300	-300
42	0	0	300	-300
46	19	0	100	-100
49	204	0	210	-85
54	48	0	300	-300
55	0	0	23	-8
56	0	0	15	-8
59	155	0	180	-60
61	160	0	300	-100
62	0	0	20	-20
65	391	0	200	-67
66	392	0	200	-67
69	516.400000000000	0	300	-300
70	0	0	32	-10
72	0	0	100	-100
73	0	0	100	-100
74	0	0	9	-6
76	0	0	23	-8
77	0	0	70	-20
80	477	0	280	-165
85	0	0	23	-8
87	4	0	1000	-100
89	607	0	300	-210
90	0	0	300	-300
91	0	0	100	-100
92	0	0	9	-3
99	0	0	100	-100
100	252	0	155	-50
103	40	0	40	-15
104	0	0	23	-8
105	0	0	23	-8
107	0	0	200	-200
110	0	0	23	-8
111	36	0	1000	-100
112	0	0	1000	-100
113	0	0	200	-100
116	0	0	1000	-1000
-1
